Run Number,beam species,beam energy (GeV),Voltage,HG gain,LG HG,shapping time [ns],hold delay [ns],# tungsten focalE india,# tungsten focalE japan,W/layer thickness (mm),total external W thickness (cm),beamspot (x|y) in cm
383,pion ,10,57,50,50,87.5,0,0,0,3.5,0,-1.305 | 3.006
384,pion ,10,57,50,50,87.5,0,0,0,3.5,0,-1.305 | 3.006
385,pion ,10,57,50,50,87.5,0,0,0,3.5,0,-1.305 | 3.006
386,pion ,10,57,50,50,87.5,0,0,0,3.5,0,-1.305 | 3.006
387,pion ,10,57,50,50,87.5,0,0,0,3.5,0,center of pad detector
388,pion ,10,57,50,50,87.5,0,0,0,3.5,0,center of pad detector
389,pion ,10,57,50,50,87.5,0,0,0,3.5,0,0.004 | -0.575
390,pion ,10,57,50,50,87.5,0,0,0,3.5,0,-1.005 | -0.575
391,pion ,10,57,50,50,87.5,0,0,0,3.5,0,1.004 | -1.575
392,pion ,10,57,50,50,87.5,0,0,0,3.5,0,0.004 | -1.575
393,pion ,10,57,50,50,87.5,0,0,0,3.5,0,1.005 | -1.575
394,pion ,10,57,50,50,87.5,0,0,0,3.5,0,1.005 | -1.575
395,pion ,10,57,50,50,87.5,0,0,0,3.5,0,-1.004 | 0.575
396,pion ,10,57,50,50,87.5,0,0,0,3.5,0,0.004 | 0.575
397,pion ,10,57,50,50,87.5,0,0,0,3.5,0,1.004 | 0.575
398,pion ,10,57,50,50,87.5,0,0,0,3.5,0,1.004 | 1.575
399,pion ,10,57,50,50,87.5,0,0,0,3.5,0,0.004 | 1.575
400,pion ,10,57,50,50,87.5,0,0,0,3.5,0,1.004 | 2.575 or 0.004 | 3.575
401,pion ,10,57,50,50,87.5,0,0,0,3.5,0,1.005 | 3.575
402,pion ,10,57,50,50,87.5,0,0,0,3.5,0,2.006 | 3.575
403,pion ,10,57,50,50,87.5,0,0,0,3.5,0,1.004 | 2.574
404,pion ,10,57,50,50,87.5,0,0,0,3.5,0,2.006 | 3.574
405,pion ,10,57,50,50,87.5,0,0,0,3.5,0,2.006 | 3.240
