#run_number     species     energy      Vov     HGgain      LGgain  assembly_number
438     g     0      2.5     50     50  16
439     g     0      3.0     50   50  16
440     g     0      3.5     50     50  16
441     g     0      4.0     50   50  16
442     g     0      4.0     50   50  16
443     g     0      4.5     50     50  16
444     g     0      5.0     50   50  16
445     g     0      5.5     50     50  16
446     g     0      2.5     50     50  16
447     g     0      3.0     50   50  16
448     g     0      3.5     50     50  16
449     g     0      3.5     50     50  16
450     g     0      3.5     50     50  16
451     g     0      4.0     50   50  16
452     g     0      4.5     50     50  16
453     g     0      5.0     50   50  16
454     g     0      5.5     50     50  16
