#run_number     species     energy      Vov     HGgain      LGgain  assembly_number
330     g     0      3.0     50     50  17
331     g     0      3.5     50     50  17
332     g     0      4.0     50     50  17
333     g     0      4.5     50     50  17
334     g     0      5.0     50     50  17
335     g     0      5.5     50     50  17
340     g     0      3.5     50     50  17
339     g     0      4.0     50     50  17
342     g     0      4.5     50     50  17
343     g     0      5.0     50     50  17
344     g     0      5.5     50     50  17
352     g     0      4.5     50     50  17
353     g     0      5.0     50     50  17
354     g     0      5.5     50     50  17
403     g     0      3.0     50     50  18
405     g     0      3.5     50     50  18
402     g     0      4.0     50     50  18
406     g     0      4.5     50     50  18
407     g     0      5.0     50     50  18
408     g     0      5.5     50     50  18
418     g     0      3.0     50     50  16
419     g     0      3.5     50     50  16
420     g     0      4.0     50     50  16
421     g     0      4.5     50     50  16
422     g     0      5.0     50     50  16
423     g     0      5.5     50     50  16
442     g     0      3.5     50     50  15
443     g     0      4.0     50     50  15
445     g     0      4.5     50     50  15
446     g     0      5.0     50     50  15
447     g     0      5.5     50     50  15
525     cosmics     1000      4.72     50      50 -1
656     g     0      6.2     50     50  01
