#layer  #assembly #CAEN board   #layer in CAEN unit
0   C001    0 0
1   C002    0 1
2   C003    0 2
3   C065    0 3
4   C066    0 4
5   C067    0 5
6   C070    0 6
7   C071    0 7
8   C009    1 0
9   C010    1 1
10  C011    1 2
11  C012    1 3
12  C013    1 4
13  C014    1 5
14  C015    1 6
15  C016    1 7
16  C017    2 0
17  C018    2 1
18  C019    2 2
19  C020    2 3
20  C021    2 4
21  C022    2 5
22  C023    2 6
23  C024    2 7
24  C025    3 0
25  C026    3 1
26  C027    3 2
27  C028    3 3
28  C029    3 4
29  C069    3 5
30  C031    3 6
31  C032    3 7
32  C033    4 0
33  C034    4 1
34  C035    4 2
35  C036    4 3
36  C037    4 4
37  C038    4 5
38  C039    4 6
39  C040    4 7
40  C041    5 0
41  C042    5 1
42  C043    5 2
43  C044    5 3
44  C045    5 4
45  C046    5 5
46  C047    5 6
47  C048    5 7
48  C049    6 0
49  C050    6 1
50  C051    6 2
51  C052    6 3
52  C053    6 4
53  C054    6 5
54  C055    6 6
55  C056    6 7
56  C057    7 0
57  C058    7 1
58  C059    7 2
59  C060    7 3
60  C061    7 4
61  C062    7 5
62  C063    7 6
63  C064    7 7
