#CAEN board	CAEN Ch	layer	assembly	board channel	row	column
0	56	0	001	1	1	0
0	57	0	001	2	1	1
0	58	0	001	3	1	2
0	59	0	001	4	1	3
0	60	0	001	5	0	3
0	61	0	001	6	0	2
0	62	0	001	7	0	1
0	63	0	001	8	0	0
0	48	1	002	1	1	0
0	49	1	002	2	1	1
0	50	1	002	3	1	2
0	51	1	002	4	1	3
0	52	1	002	5	0	3
0	53	1	002	6	0	2
0	54	1	002	7	0	1
0	55	1	002	8	0	0
0	40	2	003	1	1	0
0	41	2	003	2	1	1
0	42	2	003	3	1	2
0	43	2	003	4	1	3
0	44	2	003	5	0	3
0	45	2	003	6	0	2
0	46	2	003	7	0	1
0	47	2	003	8	0	0
0	32	3	065	1	1	0
0	33	3	065	2	1	1
0	34	3	065	3	1	2
0	35	3	065	4	1	3
0	36	3	065	5	0	3
0	37	3	065	6	0	2
0	38	3	065	7	0	1
0	39	3	065	8	0	0
0	24	4	066	1	1	0
0	25	4	066	2	1	1
0	26	4	066	3	1	2
0	27	4	066	4	1	3
0	28	4	066	5	0	3
0	29	4	066	6	0	2
0	30	4	066	7	0	1
0	31	4	066	8	0	0
0	16	5	067	1	1	0
0	17	5	067	2	1	1
0	18	5	067	3	1	2
0	19	5	067	4	1	3
0	20	5	067	5	0	3
0	21	5	067	6	0	2
0	22	5	067	7	0	1
0	23	5	067	8	0	0
0	8	6	070	1	1	0
0	9	6	070	2	1	1
0	10	6	070	3	1	2
0	11	6	070	4	1	3
0	12	6	070	5	0	3
0	13	6	070	6	0	2
0	14	6	070	7	0	1
0	15	6	070	8	0	0
0	0	7	071	1	1	0
0	1	7	071	2	1	1
0	2	7	071	3	1	2
0	3	7	071	4	1	3
0	4	7	071	5	0	3
0	5	7	071	6	0	2
0	6	7	071	7	0	1
0	7	7	071	8	0	0
1	56	8	009	1	1	0
1	57	8	009	2	1	1
1	58	8	009	3	1	2
1	59	8	009	4	1	3
1	60	8	009	5	0	3
1	61	8	009	6	0	2
1	62	8	009	7	0	1
1	63	8	009	8	0	0
1	48	9	010	1	1	0
1	49	9	010	2	1	1
1	50	9	010	3	1	2
1	51	9	010	4	1	3
1	52	9	010	5	0	3
1	53	9	010	6	0	2
1	54	9	010	7	0	1
1	55	9	010	8	0	0
1	40	10	011	1	1	0
1	41	10	011	2	1	1
1	42	10	011	3	1	2
1	43	10	011	4	1	3
1	44	10	011	5	0	3
1	45	10	011	6	0	2
1	46	10	011	7	0	1
1	47	10	011	8	0	0
1	32	11	012	1	1	0
1	33	11	012	2	1	1
1	34	11	012	3	1	2
1	35	11	012	4	1	3
1	36	11	012	5	0	3
1	37	11	012	6	0	2
1	38	11	012	7	0	1
1	39	11	012	8	0	0
1	24	12	013	1	1	0
1	25	12	013	2	1	1
1	26	12	013	3	1	2
1	27	12	013	4	1	3
1	28	12	013	5	0	3
1	29	12	013	6	0	2
1	30	12	013	7	0	1
1	31	12	013	8	0	0
1	16	13	014	1	1	0
1	17	13	014	2	1	1
1	18	13	014	3	1	2
1	19	13	014	4	1	3
1	20	13	014	5	0	3
1	21	13	014	6	0	2
1	22	13	014	7	0	1
1	23	13	014	8	0	0
1	8	14	015	1	1	0
1	9	14	015	2	1	1
1	10	14	015	3	1	2
1	11	14	015	4	1	3
1	12	14	015	5	0	3
1	13	14	015	6	0	2
1	14	14	015	7	0	1
1	15	14	015	8	0	0
1	0	15	016	1	1	0
1	1	15	016	2	1	1
1	2	15	016	3	1	2
1	3	15	016	4	1	3
1	4	15	016	5	0	3
1	5	15	016	6	0	2
1	6	15	016	7	0	1
1	7	15	016	8	0	0
2	56	16	017	1	1	0
2	57	16	017	2	1	1
2	58	16	017	3	1	2
2	59	16	017	4	1	3
2	60	16	017	5	0	3
2	61	16	017	6	0	2
2	62	16	017	7	0	1
2	63	16	017	8	0	0
2	48	17	018	1	1	0
2	49	17	018	2	1	1
2	50	17	018	3	1	2
2	51	17	018	4	1	3
2	52	17	018	5	0	3
2	53	17	018	6	0	2
2	54	17	018	7	0	1
2	55	17	018	8	0	0
2	40	18	019	1	1	0
2	41	18	019	2	1	1
2	42	18	019	3	1	2
2	43	18	019	4	1	3
2	44	18	019	5	0	3
2	45	18	019	6	0	2
2	46	18	019	7	0	1
2	47	18	019	8	0	0
2	32	19	020	1	1	0
2	33	19	020	2	1	1
2	34	19	020	3	1	2
2	35	19	020	4	1	3
2	36	19	020	5	0	3
2	37	19	020	6	0	2
2	38	19	020	7	0	1
2	39	19	020	8	0	0
2	24	20	021	1	1	0
2	25	20	021	2	1	1
2	26	20	021	3	1	2
2	27	20	021	4	1	3
2	28	20	021	5	0	3
2	29	20	021	6	0	2
2	30	20	021	7	0	1
2	31	20	021	8	0	0
2	16	21	022	1	1	0
2	17	21	022	2	1	1
2	18	21	022	3	1	2
2	19	21	022	4	1	3
2	20	21	022	5	0	3
2	21	21	022	6	0	2
2	22	21	022	7	0	1
2	23	21	022	8	0	0
2	8	22	023	1	1	0
2	9	22	023	2	1	1
2	10	22	023	3	1	2
2	11	22	023	4	1	3
2	12	22	023	5	0	3
2	13	22	023	6	0	2
2	14	22	023	7	0	1
2	15	22	023	8	0	0
2	0	23	024	1	1	0
2	1	23	024	2	1	1
2	2	23	024	3	1	2
2	3	23	024	4	1	3
2	4	23	024	5	0	3
2	5	23	024	6	0	2
2	6	23	024	7	0	1
2	7	23	024	8	0	0
3	56	24	025	1	1	0
3	57	24	025	2	1	1
3	58	24	025	3	1	2
3	59	24	025	4	1	3
3	60	24	025	5	0	3
3	61	24	025	6	0	2
3	62	24	025	7	0	1
3	63	24	025	8	0	0
3	48	25	026	1	1	0
3	49	25	026	2	1	1
3	50	25	026	3	1	2
3	51	25	026	4	1	3
3	52	25	026	5	0	3
3	53	25	026	6	0	2
3	54	25	026	7	0	1
3	55	25	026	8	0	0
3	40	26	027	1	1	0
3	41	26	027	2	1	1
3	42	26	027	3	1	2
3	43	26	027	4	1	3
3	44	26	027	5	0	3
3	45	26	027	6	0	2
3	46	26	027	7	0	1
3	47	26	027	8	0	0
3	32	27	028	1	1	0
3	33	27	028	2	1	1
3	34	27	028	3	1	2
3	35	27	028	4	1	3
3	36	27	028	5	0	3
3	37	27	028	6	0	2
3	38	27	028	7	0	1
3	39	27	028	8	0	0
3	24	28	029	1	1	0
3	25	28	029	2	1	1
3	26	28	029	3	1	2
3	27	28	029	4	1	3
3	28	28	029	5	0	3
3	29	28	029	6	0	2
3	30	28	029	7	0	1
3	31	28	029	8	0	0
3	16	29	069	1	1	0
3	17	29	069	2	1	1
3	18	29	069	3	1	2
3	19	29	069	4	1	3
3	20	29	069	5	0	3
3	21	29	069	6	0	2
3	22	29	069	7	0	1
3	23	29	069	8	0	0
3	8	30	031	1	1	0
3	9	30	031	2	1	1
3	10	30	031	3	1	2
3	11	30	031	4	1	3
3	12	30	031	5	0	3
3	13	30	031	6	0	2
3	14	30	031	7	0	1
3	15	30	031	8	0	0
3	0	31	032	1	1	0
3	1	31	032	2	1	1
3	2	31	032	3	1	2
3	3	31	032	4	1	3
3	4	31	032	5	0	3
3	5	31	032	6	0	2
3	6	31	032	7	0	1
3	7	31	032	8	0	0
4	56	32	033	1	1	0
4	57	32	033	2	1	1
4	58	32	033	3	1	2
4	59	32	033	4	1	3
4	60	32	033	5	0	3
4	61	32	033	6	0	2
4	62	32	033	7	0	1
4	63	32	033	8	0	0
4	48	33	034	1	1	0
4	49	33	034	2	1	1
4	50	33	034	3	1	2
4	51	33	034	4	1	3
4	52	33	034	5	0	3
4	53	33	034	6	0	2
4	54	33	034	7	0	1
4	55	33	034	8	0	0
4	40	34	035	1	1	0
4	41	34	035	2	1	1
4	42	34	035	3	1	2
4	43	34	035	4	1	3
4	44	34	035	5	0	3
4	45	34	035	6	0	2
4	46	34	035	7	0	1
4	47	34	035	8	0	0
4	32	35	036	1	1	0
4	33	35	036	2	1	1
4	34	35	036	3	1	2
4	35	35	036	4	1	3
4	36	35	036	5	0	3
4	37	35	036	6	0	2
4	38	35	036	7	0	1
4	39	35	036	8	0	0
4	24	36	037	1	1	0
4	25	36	037	2	1	1
4	26	36	037	3	1	2
4	27	36	037	4	1	3
4	28	36	037	5	0	3
4	29	36	037	6	0	2
4	30	36	037	7	0	1
4	31	36	037	8	0	0
4	16	37	038	1	1	0
4	17	37	038	2	1	1
4	18	37	038	3	1	2
4	19	37	038	4	1	3
4	20	37	038	5	0	3
4	21	37	038	6	0	2
4	22	37	038	7	0	1
4	23	37	038	8	0	0
4	8	38	039	1	1	0
