#CAEN board	CAEN Ch	layer	assembly	board channel	row	column	modNr
1	1	1	08	8	1	0	0
1	2	7	07	8	1	0	0
1	3	1	08	7	1	1	0
1	4	7	07	7	1	1	0
1	5	1	08	6	1	2	0
1	6	7	07	6	1	2	0
1	7	1	08	5	1	3	0
1	8	7	07	5	1	3	0
1	9	1	08	4	0	3	0
1	10	7	07	4	0	3	0
1	11	1	08	3	0	2	0
1	12	7	07	3	0	2	0
1	13	1	08	2	0	1	0
1	14	7	07	2	0	1	0
1	15	1	08	1	0	0	0
1	16	7	07	1	0	0	0
1	17	0	11	8	1	0	0
1	18	6	06	8	1	0	0
1	19	0	11	7	1	1	0
1	20	6	06	7	1	1	0
1	21	0	11	6	1	2	0
1	22	6	06	6	1	2	0
1	23	0	11	5	1	3	0
1	24	6	06	5	1	3	0
1	25	0	11	4	0	3	0
1	26	6	06	4	0	3	0
1	27	0	11	3	0	2	0
1	28	6	06	3	0	2	0
1	29	0	11	2	0	1	0
1	30	6	06	2	0	1	0
1	31	0	11	1	0	0	0
1	32	6	06	1	0	0	0
1	33	2	02	1	0	0	0
1	34	4	13	1	0	0	0
1	35	2	02	2	0	1	0
1	36	4	13	2	0	1	0
1	37	2	02	3	0	2	0
1	38	4	13	3	0	2	0
1	39	2	02	4	0	3	0
1	40	4	13	4	0	3	0
1	41	2	02	5	1	3	0
1	42	4	13	5	1	3	0
1	43	2	02	6	1	2	0
1	44	4	13	6	1	2	0
1	45	2	02	7	1	1	0
1	46	4	13	7	1	1	0
1	47	2	02	8	1	0	0
1	48	4	13	8	1	0	0
1	49	2	02	1	0	0	0
1	50	5	05	1	0	0	0
1	51	3	03	2	0	1	0
1	52	5	05	2	0	1	0
1	53	3	03	3	0	2	0
1	54	5	05	3	0	2	0
1	55	3	03	4	0	3	0
1	56	5	05	4	0	3	0
1	57	3	03	5	1	3	0
1	58	5	05	5	1	3	0
1	59	3	03	6	1	2	0
1	60	5	05	6	1	2	0
1	61	3	03	7	1	1	0
1	62	5	05	7	1	1	0
1	63	3	03	8	1	0	0
1	64	5	05	8	1	0	0
0	1	9	09	8	1	0	0
0	2	9	09	7	1	1	0
0	3	9	09	6	1	2	0
0	4	9	09	5	1	3	0
0	5	9	09	4	0	3	0
0	6	9	09	3	0	2	0
0	7	9	09	2	0	1	0
0	8	9	09	1	0	0	0
0	9	8	01	8	1	0	0
0	10	12	04	8	1	0	0
0	11	8	01	7	1	1	0
0	12	12	04	7	1	1	0
0	13	8	01	6	1	2	0
0	14	12	04	6	1	2	0
0	15	8	01	5	1	3	0
0	16	12	04	5	1	3	0
0	17	8	01	4	0	3	0
0	18	12	04	4	0	3	0
0	19	8	01	3	0	2	0
0	20	12	04	3	0	2	0
0	21	8	01	2	0	1	0
0	22	12	04	2	0	1	0
0	23	8	01	1	0	0	0
0	24	12	04	1	0	0	0
0	25	11	12	8	1	0	0
0	26	11	12	7	1	1	0
0	27	11	12	6	1	2	0
0	28	11	12	5	1	3	0
0	29	11	12	4	0	3	0
0	30	11	12	3	0	2	0
0	31	11	12	2	0	1	0
0	32	11	12	1	0	0	0
0	33	10	00	8	1	0	0
0	34	10	00	7	1	1	0
0	35	10	00	6	1	2	0
0	36	10	00	5	1	3	0
0	37	10	00	4	0	3	0
0	38	10	00	3	0	2	0
0	39	10	00	2	0	1	0
0	40	10	00	1	0	0	0
