#CAEN board	CAEN Ch	layer	assembly	board channel	row	column
0	0	3	03	8	1	0
0	1	6	06	1	0	0
0	2	3	03	7	1	1
0	3	6	06	2	0	1
0	4	3	03	6	1	2
0	5	6	06	3	0	2
0	6	3	03	5	1	3
0	7	6	06	4	0	3
0	8	3	03	4	0	3
0	9	6	06	5	1	3
0	10	3	03	3	0	2
0	11	6	06	6	1	2
0	12	3	03	2	0	1
0	13	6	06	7	1	1
0	14	3	03	1	0	0
0	15	6	06	8	1	0
0	16	2	02	8	1	0
0	17	7	07	1	0	0
0	18	2	02	7	1	1
0	19	7	07	2	0	1
0	20	2	02	6	1	2
0	21	7	07	3	0	2
0	22	2	02	5	1	3
0	23	7	07	4	0	3
0	24	2	02	4	0	3
0	25	7	07	5	1	3
0	26	2	02	3	0	2
0	27	7	07	6	1	2
0	28	2	02	2	0	1
0	29	7	07	7	1	1
0	30	2	02	1	0	0
0	31	7	07	8	1	0
0	32	0	00	1	0	0
0	33	8	08	1	0	0
0	34	0	00	2	0	1
0	35	8	08	2	0	1
0	36	0	00	3	0	2
0	37	8	08	3	0	2
0	38	0	00	4	0	3
0	39	8	08	4	0	3
0	40	0	00	5	1	3
0	41	8	08	5	1	3
0	42	0	00	6	1	2
0	43	8	08	6	1	2
0	44	0	00	7	1	1
0	45	8	08	7	1	1
0	46	0	00	8	1	0
0	47	8	08	8	1	0
0	48	1	01	1	0	0
0	49	9	09	1	0	0
0	50	1	01	2	0	1
0	51	9	09	2	0	1
0	52	1	01	3	0	2
0	53	9	09	3	0	2
0	54	1	01	4	0	3
0	55	9	09	4	0	3
0	56	1	01	5	1	3
0	57	9	09	5	1	3
0	58	1	01	6	1	2
0	59	9	09	6	1	2
0	60	1	01	7	1	1
0	61	9	09	7	1	1
0	62	1	01	8	1	0
0	63	9	09	8	1	0
